     i,          n,    7,    5,    3,    2
   173,       1680,    1,    1,    1,    4
   174,       1701,    1,    0,    5,    0
   175,       1715,    3,    1,    0,    0
   176,       1728,    0,    0,    3,    6
   177,       1750,    1,    3,    0,    1
   178,       1764,    2,    0,    2,    2
   179,       1792,    1,    0,    0,    8
   180,       1800,    0,    2,    2,    3
   181,       1875,    0,    4,    1,    0
   182,       1890,    1,    1,    3,    1
   183,       1920,    0,    1,    1,    7
   184,       1944,    0,    0,    5,    3
   185,       1960,    2,    1,    0,    3
   186,       2000,    0,    3,    0,    4
   187,       2016,    1,    0,    2,    5
   188,       2025,    0,    2,    4,    0
   189,       2048,    0,    0,    0,   11
   190,       2058,    3,    0,    1,    1
   191,       2100,    1,    2,    1,    2
   192,       2160,    0,    1,    3,    4
   193,       2187,    0,    0,    7,    0
   194,       2205,    2,    1,    2,    0
   195,       2240,    1,    1,    0,    6
   196,       2250,    0,    3,    2,    1
   197,       2268,    1,    0,    4,    2
   198,       2304,    0,    0,    2,    8
   199,       2352,    2,    0,    1,    4
   200,       2400,    0,    2,    1,    5
   201,       2401,    4,    0,    0,    0
   202,       2430,    0,    1,    5,    1
   203,       2450,    2,    2,    0,    1
   204,       2500,    0,    4,    0,    2
   205,       2520,    1,    1,    2,    3
   206,       2560,    0,    1,    0,    9
   207,       2592,    0,    0,    4,    5
   208,       2625,    1,    3,    1,    0
   209,       2646,    2,    0,    3,    1
   210,       2688,    1,    0,    1,    7
   211,       2700,    0,    2,    3,    2
   212,       2744,    3,    0,    0,    3
   213,       2800,    1,    2,    0,    4
   214,       2835,    1,    1,    4,    0
   215,       2880,    0,    1,    2,    6
   216,       2916,    0,    0,    6,    2
   217,       2940,    2,    1,    1,    2
   218,       3000,    0,    3,    1,    3
   219,       3024,    1,    0,    3,    4
   220,       3072,    0,    0,    1,   10
   221,       3087,    3,    0,    2,    0
   222,       3125,    0,    5,    0,    0
   223,       3136,    2,    0,    0,    6
   224,       3150,    1,    2,    2,    1
   225,       3200,    0,    2,    0,    7
   226,       3240,    0,    1,    4,    3
   227,       3360,    1,    1,    1,    5
   228,       3375,    0,    3,    3,    0
   229,       3402,    1,    0,    5,    1
   230,       3430,    3,    1,    0,    1
   231,       3456,    0,    0,    3,    7
   232,       3500,    1,    3,    0,    2
   233,       3528,    2,    0,    2,    3
   234,       3584,    1,    0,    0,    9
   235,       3600,    0,    2,    2,    4
   236,       3645,    0,    1,    6,    0
   237,       3675,    2,    2,    1,    0
   238,       3750,    0,    4,    1,    1
   239,       3780,    1,    1,    3,    2
   240,       3840,    0,    1,    1,    8
   241,       3888,    0,    0,    5,    4
   242,       3920,    2,    1,    0,    4
   243,       3969,    2,    0,    4,    0
   244,       4000,    0,    3,    0,    5
   245,       4032,    1,    0,    2,    6
   246,       4050,    0,    2,    4,    1
   247,       4096,    0,    0,    0,   12
   248,       4116,    3,    0,    1,    2
   249,       4200,    1,    2,    1,    3
   250,       4320,    0,    1,    3,    5
   251,       4374,    0,    0,    7,    1
   252,       4375,    1,    4,    0,    0
   253,       4410,    2,    1,    2,    1
   254,       4480,    1,    1,    0,    7
   255,       4500,    0,    3,    2,    2
   256,       4536,    1,    0,    4,    3
   257,       4608,    0,    0,    2,    9
   258,       4704,    2,    0,    1,    5
   259,       4725,    1,    2,    3,    0
   260,       4800,    0,    2,    1,    6
   261,       4802,    4,    0,    0,    1
   262,       4860,    0,    1,    5,    2
   263,       4900,    2,    2,    0,    2
   264,       5000,    0,    4,    0,    3
   265,       5040,    1,    1,    2,    4
   266,       5103,    1,    0,    6,    0
   267,       5120,    0,    1,    0,   10
   268,       5145,    3,    1,    1,    0
   269,       5184,    0,    0,    4,    6
   270,       5250,    1,    3,    1,    1
   271,       5292,    2,    0,    3,    2
   272,       5376,    1,    0,    1,    8
   273,       5400,    0,    2,    3,    3
   274,       5488,    3,    0,    0,    4
   275,       5600,    1,    2,    0,    5
   276,       5625,    0,    4,    2,    0
   277,       5670,    1,    1,    4,    1
   278,       5760,    0,    1,    2,    7
   279,       5832,    0,    0,    6,    3
   280,       5880,    2,    1,    1,    3
   281,       6000,    0,    3,    1,    4
   282,       6048,    1,    0,    3,    5
   283,       6075,    0,    2,    5,    0
   284,       6125,    2,    3,    0,    0
   285,       6144,    0,    0,    1,   11
   286,       6174,    3,    0,    2,    1
   287,       6250,    0,    5,    0,    1
   288,       6272,    2,    0,    0,    7
   289,       6300,    1,    2,    2,    2
   290,       6400,    0,    2,    0,    8
   291,       6480,    0,    1,    4,    4
   292,       6561,    0,    0,    8,    0
   293,       6615,    2,    1,    3,    0
   294,       6720,    1,    1,    1,    6
   295,       6750,    0,    3,    3,    1
   296,       6804,    1,    0,    5,    2
   297,       6860,    3,    1,    0,    2
   298,       6912,    0,    0,    3,    8
   299,       7000,    1,    3,    0,    3
   300,       7056,    2,    0,    2,    4
   301,       7168,    1,    0,    0,   10
   302,       7200,    0,    2,    2,    5
   303,       7203,    4,    0,    1,    0
   304,       7290,    0,    1,    6,    1
   305,       7350,    2,    2,    1,    1
   306,       7500,    0,    4,    1,    2
   307,       7560,    1,    1,    3,    3
   308,       7680,    0,    1,    1,    9
   309,       7776,    0,    0,    5,    5
   310,       7840,    2,    1,    0,    5
   311,       7875,    1,    3,    2,    0
   312,       7938,    2,    0,    4,    1
   313,       8000,    0,    3,    0,    6
   314,       8064,    1,    0,    2,    7
   315,       8100,    0,    2,    4,    2
   316,       8192,    0,    0,    0,   13
   317,       8232,    3,    0,    1,    3
   318,       8400,    1,    2,    1,    4
   319,       8505,    1,    1,    5,    0
   320,       8575,    3,    2,    0,    0
   321,       8640,    0,    1,    3,    6
   322,       8748,    0,    0,    7,    2
   323,       8750,    1,    4,    0,    1
   324,       8820,    2,    1,    2,    2
   325,       8960,    1,    1,    0,    8
   326,       9000,    0,    3,    2,    3
   327,       9072,    1,    0,    4,    4
   328,       9216,    0,    0,    2,   10
   329,       9261,    3,    0,    3,    0
   330,       9375,    0,    5,    1,    0
   331,       9408,    2,    0,    1,    6
   332,       9450,    1,    2,    3,    1
   333,       9600,    0,    2,    1,    7
   334,       9604,    4,    0,    0,    2
   335,       9720,    0,    1,    5,    3
   336,       9800,    2,    2,    0,    3
   337,      10000,    0,    4,    0,    4
   338,      10080,    1,    1,    2,    5
   339,      10125,    0,    3,    4,    0
   340,      10206,    1,    0,    6,    1
   341,      10240,    0,    1,    0,   11
   342,      10290,    3,    1,    1,    1
   343,      10368,    0,    0,    4,    7
   344,      10500,    1,    3,    1,    2
   345,      10584,    2,    0,    3,    3
   346,      10752,    1,    0,    1,    9
   347,      10800,    0,    2,    3,    4
   348,      10935,    0,    1,    7,    0
   349,      10976,    3,    0,    0,    5
   350,      11025,    2,    2,    2,    0
   351,      11200,    1,    2,    0,    6
   352,      11250,    0,    4,    2,    1
   353,      11340,    1,    1,    4,    2
   354,      11520,    0,    1,    2,    8
   355,      11664,    0,    0,    6,    4
   356,      11760,    2,    1,    1,    4
   357,      11907,    2,    0,    5,    0
   358,      12000,    0,    3,    1,    5
   359,      12005,    4,    1,    0,    0
   360,      12096,    1,    0,    3,    6
   361,      12150,    0,    2,    5,    1
   362,      12250,    2,    3,    0,    1
   363,      12288,    0,    0,    1,   12
   364,      12348,    3,    0,    2,    2
   365,      12500,    0,    5,    0,    2
   366,      12544,    2,    0,    0,    8
   367,      12600,    1,    2,    2,    3
   368,      12800,    0,    2,    0,    9
   369,      12960,    0,    1,    4,    5
   370,      13122,    0,    0,    8,    1
   371,      13125,    1,    4,    1,    0
   372,      13230,    2,    1,    3,    1
   373,      13440,    1,    1,    1,    7
   374,      13500,    0,    3,    3,    2
   375,      13608,    1,    0,    5,    3
   376,      13720,    3,    1,    0,    3
   377,      13824,    0,    0,    3,    9
   378,      14000,    1,    3,    0,    4
   379,      14112,    2,    0,    2,    5
   380,      14175,    1,    2,    4,    0
   381,      14336,    1,    0,    0,   11
   382,      14400,    0,    2,    2,    6
   383,      14406,    4,    0,    1,    1
   384,      14580,    0,    1,    6,    2
   385,      14700,    2,    2,    1,    2
   386,      15000,    0,    4,    1,    3
   387,      15120,    1,    1,    3,    4
   388,      15309,    1,    0,    7,    0
   389,      15360,    0,    1,    1,   10
   390,      15435,    3,    1,    2,    0
   391,      15552,    0,    0,    5,    6
   392,      15625,    0,    6,    0,    0
   393,      15680,    2,    1,    0,    6
   394,      15750,    1,    3,    2,    1
   395,      15876,    2,    0,    4,    2
   396,      16000,    0,    3,    0,    7
   397,      16128,    1,    0,    2,    8
   398,      16200,    0,    2,    4,    3
   399,      16384,    0,    0,    0,   14
   400,      16464,    3,    0,    1,    4
   401,      16800,    1,    2,    1,    5
   402,      16807,    5,    0,    0,    0
   403,      16875,    0,    4,    3,    0
   404,      17010,    1,    1,    5,    1
   405,      17150,    3,    2,    0,    1
   406,      17280,    0,    1,    3,    7
   407,      17496,    0,    0,    7,    3
   408,      17500,    1,    4,    0,    2
   409,      17640,    2,    1,    2,    3
   410,      17920,    1,    1,    0,    9
   411,      18000,    0,    3,    2,    4
   412,      18144,    1,    0,    4,    5
   413,      18225,    0,    2,    6,    0
   414,      18375,    2,    3,    1,    0
   415,      18432,    0,    0,    2,   11
   416,      18522,    3,    0,    3,    1
   417,      18750,    0,    5,    1,    1
   418,      18816,    2,    0,    1,    7
   419,      18900,    1,    2,    3,    2
   420,      19200,    0,    2,    1,    8
   421,      19208,    4,    0,    0,    3
   422,      19440,    0,    1,    5,    4
   423,      19600,    2,    2,    0,    4
   424,      19683,    0,    0,    9,    0
   425,      19845,    2,    1,    4,    0
   426,      20000,    0,    4,    0,    5
   427,      20160,    1,    1,    2,    6
   428,      20250,    0,    3,    4,    1
   429,      20412,    1,    0,    6,    2
   430,      20480,    0,    1,    0,   12
   431,      20580,    3,    1,    1,    2
   432,      20736,    0,    0,    4,    8
   433,      21000,    1,    3,    1,    3
   434,      21168,    2,    0,    3,    4
   435,      21504,    1,    0,    1,   10
   436,      21600,    0,    2,    3,    5
   437,      21609,    4,    0,    2,    0
   438,      21870,    0,    1,    7,    1
   439,      21875,    1,    5,    0,    0
   440,      21952,    3,    0,    0,    6
   441,      22050,    2,    2,    2,    1
   442,      22400,    1,    2,    0,    7
   443,      22500,    0,    4,    2,    2
   444,      22680,    1,    1,    4,    3
   445,      23040,    0,    1,    2,    9
   446,      23328,    0,    0,    6,    5
   447,      23520,    2,    1,    1,    5
   448,      23625,    1,    3,    3,    0
   449,      23814,    2,    0,    5,    1
   450,      24000,    0,    3,    1,    6
   451,      24010,    4,    1,    0,    1
   452,      24192,    1,    0,    3,    7
   453,      24300,    0,    2,    5,    2
   454,      24500,    2,    3,    0,    2
   455,      24576,    0,    0,    1,   13
   456,      24696,    3,    0,    2,    3
   457,      25000,    0,    5,    0,    3
   458,      25088,    2,    0,    0,    9
   459,      25200,    1,    2,    2,    4
   460,      25515,    1,    1,    6,    0
   461,      25600,    0,    2,    0,   10
   462,      25725,    3,    2,    1,    0
   463,      25920,    0,    1,    4,    6
   464,      26244,    0,    0,    8,    2
   465,      26250,    1,    4,    1,    1
   466,      26460,    2,    1,    3,    2
   467,      26880,    1,    1,    1,    8
   468,      27000,    0,    3,    3,    3
   469,      27216,    1,    0,    5,    4
   470,      27440,    3,    1,    0,    4
   471,      27648,    0,    0,    3,   10
   472,      27783,    3,    0,    4,    0
   473,      28000,    1,    3,    0,    5
   474,      28125,    0,    5,    2,    0
   475,      28224,    2,    0,    2,    6
   476,      28350,    1,    2,    4,    1
   477,      28672,    1,    0,    0,   12
   478,      28800,    0,    2,    2,    7
   479,      28812,    4,    0,    1,    2
   480,      29160,    0,    1,    6,    3
   481,      29400,    2,    2,    1,    3
   482,      30000,    0,    4,    1,    4
   483,      30240,    1,    1,    3,    5
   484,      30375,    0,    3,    5,    0
   485,      30618,    1,    0,    7,    1
   486,      30625,    2,    4,    0,    0
   487,      30720,    0,    1,    1,   11
   488,      30870,    3,    1,    2,    1
   489,      31104,    0,    0,    5,    7
   490,      31250,    0,    6,    0,    1
   491,      31360,    2,    1,    0,    7
   492,      31500,    1,    3,    2,    2
   493,      31752,    2,    0,    4,    3
   494,      32000,    0,    3,    0,    8
   495,      32256,    1,    0,    2,    9
   496,      32400,    0,    2,    4,    4
   497,      32768,    0,    0,    0,   15
   498,      32805,    0,    1,    8,    0
   499,      32928,    3,    0,    1,    5
   500,      33075,    2,    2,    3,    0
   501,      33600,    1,    2,    1,    6
   502,      33614,    5,    0,    0,    1
   503,      33750,    0,    4,    3,    1
   504,      34020,    1,    1,    5,    2
   505,      34300,    3,    2,    0,    2
   506,      34560,    0,    1,    3,    8
   507,      34992,    0,    0,    7,    4
   508,      35000,    1,    4,    0,    3
   509,      35280,    2,    1,    2,    4
   510,      35721,    2,    0,    6,    0
   511,      35840,    1,    1,    0,   10
   512,      36000,    0,    3,    2,    5
   513,      36015,    4,    1,    1,    0
   514,      36288,    1,    0,    4,    6
   515,      36450,    0,    2,    6,    1
   516,      36750,    2,    3,    1,    1
   517,      36864,    0,    0,    2,   12
   518,      37044,    3,    0,    3,    2
   519,      37500,    0,    5,    1,    2
   520,      37632,    2,    0,    1,    8
   521,      37800,    1,    2,    3,    3
   522,      38400,    0,    2,    1,    9
   523,      38416,    4,    0,    0,    4
   524,      38880,    0,    1,    5,    5
   525,      39200,    2,    2,    0,    5
   526,      39366,    0,    0,    9,    1
   527,      39375,    1,    4,    2,    0
   528,      39690,    2,    1,    4,    1
   529,      40000,    0,    4,    0,    6
   530,      40320,    1,    1,    2,    7
   531,      40500,    0,    3,    4,    2
   532,      40824,    1,    0,    6,    3
   533,      40960,    0,    1,    0,   13
   534,      41160,    3,    1,    1,    3
   535,      41472,    0,    0,    4,    9
   536,      42000,    1,    3,    1,    4
   537,      42336,    2,    0,    3,    5
   538,      42525,    1,    2,    5,    0
   539,      42875,    3,    3,    0,    0
   540,      43008,    1,    0,    1,   11
   541,      43200,    0,    2,    3,    6
   542,      43218,    4,    0,    2,    1
   543,      43740,    0,    1,    7,    2
   544,      43750,    1,    5,    0,    1
   545,      43904,    3,    0,    0,    7
   546,      44100,    2,    2,    2,    2
   547,      44800,    1,    2,    0,    8
   548,      45000,    0,    4,    2,    3
   549,      45360,    1,    1,    4,    4
   550,      45927,    1,    0,    8,    0
   551,      46080,    0,    1,    2,   10
   552,      46305,    3,    1,    3,    0
   553,      46656,    0,    0,    6,    6
   554,      46875,    0,    6,    1,    0
   555,      47040,    2,    1,    1,    6
   556,      47250,    1,    3,    3,    1
   557,      47628,    2,    0,    5,    2
   558,      48000,    0,    3,    1,    7
   559,      48020,    4,    1,    0,    2
   560,      48384,    1,    0,    3,    8
   561,      48600,    0,    2,    5,    3
   562,      49000,    2,    3,    0,    3
   563,      49152,    0,    0,    1,   14
   564,      49392,    3,    0,    2,    4
   565,      50000,    0,    5,    0,    4
   566,      50176,    2,    0,    0,   10
   567,      50400,    1,    2,    2,    5
   568,      50421,    5,    0,    1,    0
   569,      50625,    0,    4,    4,    0
   570,      51030,    1,    1,    6,    1
   571,      51200,    0,    2,    0,   11
   572,      51450,    3,    2,    1,    1
   573,      51840,    0,    1,    4,    7
   574,      52488,    0,    0,    8,    3
   575,      52500,    1,    4,    1,    2
   576,      52920,    2,    1,    3,    3
   577,      53760,    1,    1,    1,    9
   578,      54000,    0,    3,    3,    4
   579,      54432,    1,    0,    5,    5
   580,      54675,    0,    2,    7,    0
   581,      54880,    3,    1,    0,    5
   582,      55125,    2,    3,    2,    0
   583,      55296,    0,    0,    3,   11
   584,      55566,    3,    0,    4,    1
   585,      56000,    1,    3,    0,    6
   586,      56250,    0,    5,    2,    1
   587,      56448,    2,    0,    2,    7
   588,      56700,    1,    2,    4,    2
   589,      57344,    1,    0,    0,   13
   590,      57600,    0,    2,    2,    8
   591,      57624,    4,    0,    1,    3
   592,      58320,    0,    1,    6,    4
   593,      58800,    2,    2,    1,    4
   594,      59049,    0,    0,   10,    0
   595,      59535,    2,    1,    5,    0
   596,      60000,    0,    4,    1,    5
   597,      60025,    4,    2,    0,    0
   598,      60480,    1,    1,    3,    6
   599,      60750,    0,    3,    5,    1
   600,      61236,    1,    0,    7,    2
   601,      61250,    2,    4,    0,    1
   602,      61440,    0,    1,    1,   12
   603,      61740,    3,    1,    2,    2
   604,      62208,    0,    0,    5,    8
   605,      62500,    0,    6,    0,    2
   606,      62720,    2,    1,    0,    8
   607,      63000,    1,    3,    2,    3
   608,      63504,    2,    0,    4,    4
   609,      64000,    0,    3,    0,    9
   610,      64512,    1,    0,    2,   10
   611,      64800,    0,    2,    4,    5
   612,      64827,    4,    0,    3,    0
   613,      65536,    0,    0,    0,   16
   614,      65610,    0,    1,    8,    1
   615,      65625,    1,    5,    1,    0
   616,      65856,    3,    0,    1,    6
   617,      66150,    2,    2,    3,    1
   618,      67200,    1,    2,    1,    7
   619,      67228,    5,    0,    0,    2
   620,      67500,    0,    4,    3,    2
   621,      68040,    1,    1,    5,    3
   622,      68600,    3,    2,    0,    3
   623,      69120,    0,    1,    3,    9
   624,      69984,    0,    0,    7,    5
   625,      70000,    1,    4,    0,    4
   626,      70560,    2,    1,    2,    5
   627,      70875,    1,    3,    4,    0
   628,      71442,    2,    0,    6,    1
   629,      71680,    1,    1,    0,   11
   630,      72000,    0,    3,    2,    6
   631,      72030,    4,    1,    1,    1
   632,      72576,    1,    0,    4,    7
   633,      72900,    0,    2,    6,    2
   634,      73500,    2,    3,    1,    2
   635,      73728,    0,    0,    2,   13
   636,      74088,    3,    0,    3,    3
   637,      75000,    0,    5,    1,    3
   638,      75264,    2,    0,    1,    9
   639,      75600,    1,    2,    3,    4
   640,      76545,    1,    1,    7,    0
   641,      76800,    0,    2,    1,   10
   642,      76832,    4,    0,    0,    5
   643,      77175,    3,    2,    2,    0
   644,      77760,    0,    1,    5,    6
   645,      78125,    0,    7,    0,    0
   646,      78400,    2,    2,    0,    6
   647,      78732,    0,    0,    9,    2
   648,      78750,    1,    4,    2,    1
   649,      79380,    2,    1,    4,    2
   650,      80000,    0,    4,    0,    7
   651,      80640,    1,    1,    2,    8
   652,      81000,    0,    3,    4,    3
   653,      81648,    1,    0,    6,    4
   654,      81920,    0,    1,    0,   14
   655,      82320,    3,    1,    1,    4
   656,      82944,    0,    0,    4,   10
   657,      83349,    3,    0,    5,    0
   658,      84000,    1,    3,    1,    5
   659,      84035,    5,    1,    0,    0
   660,      84375,    0,    5,    3,    0
   661,      84672,    2,    0,    3,    6
   662,      85050,    1,    2,    5,    1
   663,      85750,    3,    3,    0,    1
   664,      86016,    1,    0,    1,   12
   665,      86400,    0,    2,    3,    7
   666,      86436,    4,    0,    2,    2
   667,      87480,    0,    1,    7,    3
   668,      87500,    1,    5,    0,    2
   669,      87808,    3,    0,    0,    8
   670,      88200,    2,    2,    2,    3
   671,      89600,    1,    2,    0,    9
   672,      90000,    0,    4,    2,    4
   673,      90720,    1,    1,    4,    5
   674,      91125,    0,    3,    6,    0
   675,      91854,    1,    0,    8,    1
   676,      91875,    2,    4,    1,    0
   677,      92160,    0,    1,    2,   11
   678,      92610,    3,    1,    3,    1
   679,      93312,    0,    0,    6,    7
   680,      93750,    0,    6,    1,    1
   681,      94080,    2,    1,    1,    7
   682,      94500,    1,    3,    3,    2
   683,      95256,    2,    0,    5,    3
   684,      96000,    0,    3,    1,    8
   685,      96040,    4,    1,    0,    3
   686,      96768,    1,    0,    3,    9
   687,      97200,    0,    2,    5,    4
   688,      98000,    2,    3,    0,    4
   689,      98304,    0,    0,    1,   15
   690,      98415,    0,    1,    9,    0
   691,      98784,    3,    0,    2,    5
   692,      99225,    2,    2,    4,    0
   693,     100000,    0,    5,    0,    5
   694,     100352,    2,    0,    0,   11
   695,     100800,    1,    2,    2,    6
   696,     100842,    5,    0,    1,    1
   697,     101250,    0,    4,    4,    1
   698,     102060,    1,    1,    6,    2
   699,     102400,    0,    2,    0,   12
   700,     102900,    3,    2,    1,    2
   701,     103680,    0,    1,    4,    8
   702,     104976,    0,    0,    8,    4
   703,     105000,    1,    4,    1,    3
   704,     105840,    2,    1,    3,    4
   705,     107163,    2,    0,    7,    0
   706,     107520,    1,    1,    1,   10
   707,     108000,    0,    3,    3,    5
   708,     108045,    4,    1,    2,    0
   709,     108864,    1,    0,    5,    6
   710,     109350,    0,    2,    7,    1
   711,     109375,    1,    6,    0,    0
   712,     109760,    3,    1,    0,    6
   713,     110250,    2,    3,    2,    1
   714,     110592,    0,    0,    3,   12
   715,     111132,    3,    0,    4,    2
   716,     112000,    1,    3,    0,    7
   717,     112500,    0,    5,    2,    2
   718,     112896,    2,    0,    2,    8
   719,     113400,    1,    2,    4,    3
   720,     114688,    1,    0,    0,   14
   721,     115200,    0,    2,    2,    9
   722,     115248,    4,    0,    1,    4
   723,     116640,    0,    1,    6,    5
   724,     117600,    2,    2,    1,    5
   725,     117649,    6,    0,    0,    0
   726,     118098,    0,    0,   10,    1
   727,     118125,    1,    4,    3,    0
   728,     119070,    2,    1,    5,    1
   729,     120000,    0,    4,    1,    6
   730,     120050,    4,    2,    0,    1
   731,     120960,    1,    1,    3,    7
   732,     121500,    0,    3,    5,    2
   733,     122472,    1,    0,    7,    3
   734,     122500,    2,    4,    0,    2
   735,     122880,    0,    1,    1,   13
   736,     123480,    3,    1,    2,    3
   737,     124416,    0,    0,    5,    9
   738,     125000,    0,    6,    0,    3
   739,     125440,    2,    1,    0,    9
   740,     126000,    1,    3,    2,    4
